Parameter2,window_size,condition,count
HCT_Accuracy,0.175,HCT,5
HRV_HFD,0.075,RestingState,5
HRV_SDNN,0.05,RestingState,5
HCT_Accuracy,0.2,HCT,4
HRV_MeanNN,0.15,HCT,4
MAIA_AttentionRegulation,0.15,RestingState,4
HCT_Sensibility,0.15,RestingState,4
HRV_AI,0.125,RestingState,4
HCT_Sensibility,0.125,RestingState,4
HRV_SDNN_HCT,0.1,RestingState,4
HCT_Sensibility,0.1,RestingState,4
HRV_HFD,0.075,HCT,4
HRV_IALS,0.05,RestingState,4
HRV_MeanNN_HCT,0.05,RestingState,4
HRV_Ca,0.175,RestingState,3
HCT_Accuracy,0.175,RestingState,3
HRV_HFD,0.175,RestingState,3
HCT_Accuracy,0.15,HCT,3
HRV_SDNN,0.15,RestingState,3
HRV_AI,0.15,RestingState,3
HRV_HFD,0.15,RestingState,3
HCT_Awareness,0.1,RestingState,3
HRV_HFD,0.1,RestingState,3
HRV_MeanNN_HCT,0.075,HCT,3
HRV_AI,0.075,RestingState,3
HRV_SampEn,0.075,RestingState,3
HRV_MeanNN_HCT,0.075,RestingState,3
MAIA_NotDistracting,0.05,HCT,3
HCT_Accuracy,0.05,HCT,3
MAIA_Trusting,0.05,HCT,3
HRV_AI,0.05,RestingState,3
HRV_MeanNN_HCT,0.2,RestingState,2
HRV_MeanNN,0.175,HCT,2
HRV_RMSSD,0.175,HCT,2
HCT_Sensibility,0.175,RestingState,2
HRV_MeanNN_HCT,0.175,RestingState,2
HRV_HFD,0.15,HCT,2
MAIA_Noticing,0.15,RestingState,2
HRV_SampEn,0.15,RestingState,2
HRV_MeanNN,0.125,HCT,2
HCT_Accuracy,0.125,HCT,2
HCT_Awareness,0.125,RestingState,2
HRV_HFD,0.125,RestingState,2
HRV_MeanNN_HCT,0.1,HCT,2
HRV_SampEn,0.1,HCT,2
HRV_MeanNN,0.075,HCT,2
HCT_Accuracy,0.075,HCT,2
HRV_SDNN_HCT,0.075,RestingState,2
HRV_IALS,0.05,HCT,2
HCT_Awareness,0.2,HCT,1
MAIA_Trusting,0.175,RestingState,1
HRV_SDNN_HCT,0.15,RestingState,1
HRV_SampEn,0.125,RestingState,1
HRV_LFHF,0.125,RestingState,1
HRV_MeanNN,0.1,HCT,1
HRV_SampEn,0.1,RestingState,1
HRV_MeanNN_HCT,0.1,RestingState,1
HRV_SampEn,0.075,HCT,1
HCT_Awareness,0.075,RestingState,1
HRV_HF,0.075,RestingState,1
HRV_MeanNN,0.05,HCT,1
HRV_MeanNN_HCT,0.05,HCT,1
HRV_SDNN_HCT,0.05,RestingState,1
