Parameter1,Parameter2,window_size,count
AF8_Mean,MAIA_SelfRegulation,0.05,29
AF7_Mean,MAIA_BodyListening,0.05,19
AF7_Mean,MAIA_BodyListening,0.125,9
AF7_Mean,MAIA_AttentionRegulation,0.05,19
AF8_Mean,HCT_Accuracy,0.05,10
AF8_Mean,MAIA_AttentionRegulation,0.05,28
AF7_Mean,IAS_Total,0.05,12
AF8_Mean,IAS_Total,0.05,17
AF7_Mean,HRV_SampEn,0.15,9
AF7_Mean,HRV_SampEn,0.175,13
AF7_Mean,HRV_SampEn,0.2,13
AF7_Mean,HRV_SampEn,0.125,6
AF7_Mean,HRV_SampEn,0.1,2
AF8_Mean,MAIA_Trusting,0.05,3
AF7_Mean,MAIA_AttentionRegulation,0.1,21
AF8_Mean,MAIA_AttentionRegulation,0.1,21
AF8_Mean,HCT_Accuracy,0.175,8
AF7_Mean,MAIA_BodyListening,0.1,12
AF7_Mean,IAS_Total,0.1,8
AF8_Mean,IAS_Total,0.1,22
AF8_Mean,MAIA_AttentionRegulation,0.15,18
AF8_Mean,MAIA_Trusting,0.1,8
AF8_Mean,HCT_Accuracy,0.2,4
AF8_Mean,MAIA_AttentionRegulation,0.125,20
AF8_Mean,HCT_Accuracy,0.15,8
AF7_Mean,MAIA_AttentionRegulation,0.125,13
AF8_Mean,HCT_Accuracy,0.125,10
AF7_Mean,IAS_Total,0.125,10
AF8_Mean,MAIA_Trusting,0.125,7
AF8_Mean,IAS_Total,0.125,22
AF8_Mean,MAIA_AttentionRegulation,0.175,6
AF7_Mean,MAIA_AttentionRegulation,0.15,6
AF8_Mean,HRV_SampEn,0.2,19
AF7_Mean,HRV_Ca,0.175,3
AF7_Mean,HRV_SDNN,0.05,5
AF7_Mean,HCT_Accuracy,0.05,21
AF8_Mean,HCT_Sensibility,0.175,2
AF7_Mean,MAIA_Trusting,0.175,1
AF8_Mean,MAIA_SelfRegulation,0.175,24
AF7_Mean,HRV_SDNN_HCT,0.1,4
AF7_Mean,HCT_Accuracy,0.1,15
AF8_Mean,MAIA_SelfRegulation,0.1,24
AF7_Mean,HRV_Ca,0.125,7
AF8_Mean,MAIA_SelfRegulation,0.125,24
AF7_Mean,HRV_SDNN,0.15,3
AF7_Mean,HRV_Ca,0.15,5
AF7_Mean,HRV_AI,0.15,3
AF7_Mean,HRV_SDNN_HCT,0.15,1
AF8_Mean,MAIA_SelfRegulation,0.15,25
AF7_Mean,MAIA_BodyListening,0.175,1
AF8_Mean,HCT_Sensibility,0.05,11
AF7_Mean,HRV_AI,0.125,4
AF7_Mean,HRV_Ca,0.1,5
AF8_Mean,HCT_Sensibility,0.15,4
AF8_Mean,HCT_Sensibility,0.125,4
AF8_Mean,HCT_Sensibility,0.1,4
AF8_Mean,HRV_Ca,0.125,9
AF7_Mean,HRV_Ca,0.05,4
AF8_Mean,HRV_HFD,0.2,10
AF8_Mean,HRV_Ca,0.1,9
AF8_Mean,HCT_Awareness,0.1,3
AF7_Mean,MAIA_BodyListening,0.15,5
AF8_Mean,HRV_Ca,0.05,13
AF8_Mean,HRV_SampEn,0.175,11
AF8_Mean,HCT_Awareness,0.125,2
AF7_Mean,HCT_Accuracy,0.15,3
AF8_Mean,HCT_Accuracy,0.1,6
AF8_Mean,HRV_MeanNN,0.2,11
AF7_Mean,HCT_Accuracy,0.125,6
AF8_Mean,HRV_MeanNN_HCT,0.2,1
AF7_Mean,HRV_AI,0.05,3
AF7_Mean,HRV_SDNN_HCT,0.05,1
AF8_Mean,HRV_SampEn,0.15,2
AF8_Mean,HRV_SampEn,0.05,6
AF8_Mean,HRV_MeanNN,0.15,9
AF8_Mean,MAIA_SelfRegulation,0.2,22
AF8_Mean,HRV_MeanNN,0.05,6
AF7_Mean,MAIA_NotDistracting,0.2,25
AF7_Mean,MAIA_NotDistracting,0.175,26
AF7_Mean,MAIA_NotDistracting,0.15,25
AF7_Mean,MAIA_NotDistracting,0.125,17
AF7_Mean,MAIA_NotDistracting,0.1,14
AF8_Mean,HRV_Ca,0.15,4
AF8_Mean,IAS_Total,0.175,16
AF8_Mean,IAS_Total,0.2,15
AF8_Mean,IAS_Total,0.15,13
AF7_Mean,HRV_IALS,0.05,4
AF8_Mean,HRV_SampEn,0.1,1
AF8_Mean,HRV_HFD,0.1,3
AF8_Mean,HRV_SampEn,0.125,1
AF8_Mean,HRV_HFD,0.125,2
AF8_Mean,HRV_HFD,0.15,4
AF7_Mean,IAS_Total,0.15,6
AF7_Mean,MAIA_Noticing,0.075,63
AF8_Mean,MAIA_Noticing,0.075,59
AF8_Mean,MAIA_EmotionalAwareness,0.075,121
AF7_Mean,MAIA_EmotionalAwareness,0.075,45
AF8_Mean,HRV_LFHF,0.075,40
AF7_Mean,HRV_LFHF,0.075,53
AF7_Mean,HRV_MeanNN,0.1,1
AF7_Mean,HRV_HF,0.075,9
AF8_Mean,HRV_HF,0.075,7
AF7_Mean,HRV_MeanNN,0.075,5
AF7_Mean,HRV_HFD,0.075,4
AF7_Mean,HRV_MeanNN_HCT,0.075,6
AF8_Mean,MAIA_BodyListening,0.075,63
AF8_Mean,HCT_Accuracy,0.075,10
AF7_Mean,MAIA_AttentionRegulation,0.075,23
AF8_Mean,MAIA_AttentionRegulation,0.075,25
AF7_Mean,HRV_SampEn,0.075,1
AF8_Mean,IAS_Total,0.075,23
AF7_Mean,MAIA_BodyListening,0.075,11
AF7_Mean,IAS_Total,0.075,8
AF8_Mean,MAIA_Trusting,0.075,6
AF7_Mean,HRV_SDNN_HCT,0.075,2
AF7_Mean,HCT_Accuracy,0.075,20
AF8_Mean,MAIA_SelfRegulation,0.075,21
AF8_Mean,HCT_Sensibility,0.075,9
AF8_Mean,HRV_Ca,0.075,8
AF8_Mean,HCT_Awareness,0.075,1
AF7_Mean,HRV_AI,0.075,3
AF8_Mean,HRV_MeanNN,0.075,9
AF7_Mean,MAIA_NotDistracting,0.075,18
AF8_Mean,HRV_SampEn,0.075,3
AF8_Mean,HRV_HFD,0.075,5
